Indicator,Unit,Subgroup,Area,Area ID,Time Period,Source,Data Value,Footnotes
"#Enfants de moins de 5 ans, ayant de la fièvre, qui sont traités à l'aide de médicaments antipaludéens","#Pour cent","#< 5 ans","CAMEROON","27","2004","CMR_INS_EDS3_2004","56.9","#"
"#Enfants de moins de 5 ans, ayant de la fièvre, qui sont traités à l'aide de médicaments antipaludéens","#Pour cent","#Rural","CAMEROON","27","2004","CMR_INS_EDS3_2004","48","#"
"#Enfants de moins de 5 ans, ayant de la fièvre, qui sont traités à l'aide de médicaments antipaludéens","#Pour cent","#Total","ADAMAWA","28","2004","CMR_INS_EDS3_2004","32.5","#"
"#Enfants de moins de 5 ans, ayant de la fièvre, qui sont traités à l'aide de médicaments antipaludéens","#Pour cent","#Total","CENTRE (Without YAOUNDE)","39","2004","CMR_INS_EDS3_2004","64.8","#"
"#Enfants de moins de 5 ans, ayant de la fièvre, qui sont traités à l'aide de médicaments antipaludéens","#Pour cent","#Total","DOUALA","36","2004","CMR_INS_EDS3_2004","58.9","#"
"#Enfants de moins de 5 ans, ayant de la fièvre, qui sont traités à l'aide de médicaments antipaludéens","#Pour cent","#Total","EAST","29","2004","CMR_INS_EDS3_2004","48.2","#"
"#Enfants de moins de 5 ans, ayant de la fièvre, qui sont traités à l'aide de médicaments antipaludéens","#Pour cent","#Total","FAR NORTH","30","2004","CMR_INS_EDS3_2004","32.2","#"
"#Enfants de moins de 5 ans, ayant de la fièvre, qui sont traités à l'aide de médicaments antipaludéens","#Pour cent","#Total","LITTORAL (Without DOUALA)","38","2004","CMR_INS_EDS3_2004","68.9","#"
"#Enfants de moins de 5 ans, ayant de la fièvre, qui sont traités à l'aide de médicaments antipaludéens","#Pour cent","#Total","NORTH","31","2004","CMR_INS_EDS3_2004","24.2","#"
"#Enfants de moins de 5 ans, ayant de la fièvre, qui sont traités à l'aide de médicaments antipaludéens","#Pour cent","#Total","NORTHWEST","32","2004","CMR_INS_EDS3_2004","57.6","#"
